Gender,Age,Occupation,Marital status,Monthly income,5:00 AM - 5:30 AM,5:30 AM - 6:00 AM,6:00 AM - 6:30 AM,6:30 AM - 7:00 AM,7:00 AM - 7:30 AM,7:30 AM - 8:00 AM,8:00 AM - 8:30 AM,8:30 AM - 9:00 AM,9:00 AM - 9:30 AM,9:30 AM - 10:00 AM,10:00 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:30 AM,11:30 AM - 12:00 PM,12:00 PM - 12:30 PM,12:30 PM - 1:00 PM,1:00 PM - 1:30 PM,1:30 PM - 2:00 PM,2:00 PM - 2:30 PM,2:30 PM - 3:00 PM,3:00 PM - 3:30 PM,3:30 PM - 4:00 PM,4:00 PM - 4:30 PM,4:30 PM - 5:00 PM,5:00 PM - 5:30 PM,5:30 PM - 6:00 PM,6:00 PM - 6:30 PM,6:30 PM - 7:00 PM,7:00 PM - 7:30 PM,7:30 PM - 8:00 PM,8:00 PM - 8:30 PM,8:30 PM - 9:00 PM,9:00 PM - 9:30 PM,9:30 PM - 10:00 PM,10:00 PM - 10:30 PM,10:30 PM - 11:00 PM,11:00 PM - 11:30 PM,11:30 PM - 12:00 AM,12:00 AM - 12:30 AM,12:30 AM - 1:00 AM,1:00 AM - 1:30 AM,1:30 AM - 2:00 AM,2:00 AM - 2:30 AM,2:30 AM - 3:00 AM,3:00 AM - 3:30 AM,3:30 AM - 4:00 AM,4:00 AM - 4:30 AM,4:30 AM - 5:00 AM
Female,24,Student,Married,135000,Religion or Spiritual Activities,Exercise,Housework,Cooking,Cooking,Study,Study,Study,Eating,Sleeping,Sleeping,Personal Care,Personal Care,Personal Care,Family Time,Housework,Religion or Spiritual Activities,Phone Calls,Housework,Eating,Traveling,Traveling,Traveling,Traveling,Entertainment,Family Time,Religion or Spiritual Activities,Eating,Study,Study,Study,Study,Study,Study,Eating,Housework,Family Time,Phone Calls,Reading or Writing,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities
Female,26,Student,Single,30000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,University Class,Study,Study,Personal Care,Personal Care,Entertainment,Eating,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Gardening,Entertainment,Eating,Entertainment,Entertainment,Entertainment,Entertainment,Study,Study,Study,Study,Study,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,23,Student,Single,20000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Family Time,Family Time,Eating,Entertainment,Entertainment,Socializing,Socializing,Religion or Spiritual Activities,Entertainment,Entertainment,Cooking,Eating,Religion or Spiritual Activities,Phone Calls,Religion or Spiritual Activities,Cooking,Eating,Family Time,Entertainment,Entertainment,Eating,Socializing,Entertainment,Phone Calls,Phone Calls,Religion or Spiritual Activities,Entertainment,Socializing,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,26,Student,Single,100000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Personal Care,Traveling,Shopping,Shopping,Shopping,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Eating,Socializing,Socializing,Socializing,Socializing,Socializing,Socializing,Socializing,Traveling,Eating,Socializing,Socializing,Traveling,Traveling,Housework,Housework,Eating,Exercise,Personal Care,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,23,Student,Single,70000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Study,Study,Socializing,Socializing,Housework,Entertainment,Housework,Housework,Religion or Spiritual Activities,Socializing,Family Time,Eating,Eating,Socializing,Socializing,Sleeping,Sleeping,Sleeping,Cooking,Eating,Family Time,Socializing,Socializing,Study,Study,Study,Study,Family Time,Eating,Socializing,Reading or Writing,Socializing,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,25,Student,Single,70000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Family Time,Family Time,Family Time,Study,Study,Study,Entertainment,Caring for Pets,Caring for Pets,Personal Care,Entertainment,Phone Calls,Phone Calls,Phone Calls,Phone Calls,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,23,Student,Single,50000,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Traveling,Traveling,Traveling,Religion or Spiritual Activities,Religion or Spiritual Activities,University Class,University Class,University Class,Family Time,Sleeping,Sleeping,Religion or Spiritual Activities,Sleeping,Sleeping,Study,Study,Study,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Eating,Study,Study,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,24,Student,Single,350000,Sleeping,Sleeping,Sleeping,Work,Entertainment,Personal Care,Eating,Eating,Phone Calls,Socializing,Socializing,Socializing,Socializing,Socializing,Personal Care,Housework,Housework,Entertainment,Phone Calls,Study,Eating,Socializing,Socializing,Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Study,Study,Study,Study,Study,Study,Study,Study,Study,Study,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,25,Student,Single,50000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Personal Care,Personal Care,Reading or Writing,Personal Care,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Eating,Socializing,Socializing,Work,Work,Work,Entertainment,Entertainment,Study,Study,Study,Study,Socializing,Socializing,Socializing,Socializing,Study,Study,Eating,Study,Study,Study,Socializing,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,24,Student,Single,250000,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Family Time,Housework,Housework,Religion or Spiritual Activities,Eating,Traveling,Shopping,Shopping,Shopping,Shopping,Shopping,Shopping,Eating,Family Time,Traveling,Eating,Traveling,Personal Care,Housework,Housework,Housework,Entertainment,Religion or Spiritual Activities,Entertainment,Entertainment,Entertainment,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
