Gender,Age,Occupation,Marital status,Monthly income,5:00 AM - 5:30 AM,5:30 AM - 6:00 AM,6:00 AM - 6:30 AM,6:30 AM - 7:00 AM,7:00 AM - 7:30 AM,7:30 AM - 8:00 AM,8:00 AM - 8:30 AM,8:30 AM - 9:00 AM,9:00 AM - 9:30 AM,9:30 AM - 10:00 AM,10:00 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:30 AM,11:30 AM - 12:00 PM,12:00 PM - 12:30 PM,12:30 PM - 1:00 PM,1:00 PM - 1:30 PM,1:30 PM - 2:00 PM,2:00 PM - 2:30 PM,2:30 PM - 3:00 PM,3:00 PM - 3:30 PM,3:30 PM - 4:00 PM,4:00 PM - 4:30 PM,4:30 PM - 5:00 PM,5:00 PM - 5:30 PM,5:30 PM - 6:00 PM,6:00 PM - 6:30 PM,6:30 PM - 7:00 PM,7:00 PM - 7:30 PM,7:30 PM - 8:00 PM,8:00 PM - 8:30 PM,8:30 PM - 9:00 PM,9:00 PM - 9:30 PM,9:30 PM - 10:00 PM,10:00 PM - 10:30 PM,10:30 PM - 11:00 PM,11:00 PM - 11:30 PM,11:30 PM - 12:00 AM,12:00 AM - 12:30 AM,12:30 AM - 1:00 AM,1:00 AM - 1:30 AM,1:30 AM - 2:00 AM,2:00 AM - 2:30 AM,2:30 AM - 3:00 AM,3:00 AM - 3:30 AM,3:30 AM - 4:00 AM,4:00 AM - 4:30 AM,4:30 AM - 5:00 AM
Female,24,Student,Married,135000,Religion or Spiritual Activities,Exercise,Study,Study,Housework,Cooking,Cooking,Eating,Study,University Class,University Class,University Class,University Class,University Class,University Class,Reading or Writing,Eating,University Class,University Class,University Class,University Class,Sleeping,Sleeping,Shopping,Gardening,Entertainment,Religion or Spiritual Activities,Eating,Study,Study,Study,Study,Eating,Family Time,Religion or Spiritual Activities,Phone Calls,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Study,Religion or Spiritual Activities
Female,26,Student,Single,30000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Traveling,Traveling,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Travelling,Entertainment,Entertainment,Eating,Entertainment,Entertainment,Study,Study,Study,Study,Study,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,23,Student,Single,20000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Eating,Traveling,Traveling,Traveling,University Class,University Class,University Class,Socializing,Religion or Spiritual Activities,University Class,University Class,University Class,Socializing,Eating,Religion or Spiritual Activities,Travelling,Travelling,Travelling,Personal Care,Religion or Spiritual Activities,Personal Care,Family Time,Eating,Entertainment,Entertainment,Study,Study,Study,Religion or Spiritual Activities,Socializing,Socializing,Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,26,Student,Single,100000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Housework,Traveling,University Class,University Class,University Class,Study,Eating,Socializing,Socializing,University Class,University Class,University Class,University Class,University Class,University Class,Travelling,Sleeping,Sleeping,Sleeping,Sleeping,Family Time,Family Time,Study,Study,Exercise,Eating,Eating,Entertainment,Entertainment,Personal Care,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,23,Student,Single,70000,Sleeping,Sleeping,Sleeping,Sleeping,Traveling,Traveling,University Class,University Class,University Class,Study,Study,University Class,Study,University Class,Travelling,Shopping,Travelling,Travelling,Housework,Eating,Socializing,Socializing,Sleeping,Work,Work,Work,Cooking,Eating,Family Time,Socializing,Study,Study,Study,Study,Study,Eating,Socializing,Reading or Writing,Reading or Writing,Socializing,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,25,Student,Single,70000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Family Time,Family Time,Family Time,Study,Study,Eating,Phone Calls,Caring for Pets,Entertainment,Socializing,Personal Care,Phone Calls,Phone Calls,Phone Calls,Study,Study,Study,Sleeping,Sleeping,Sleeping,Sleeping
Male,23,Student,Single,50000,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Work,University Class,University Class,University Class,University Class,University Class,University Class,Family Time,Housework,Entertainment,Personal Care,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Eating,Entertainment,Sleeping,Sleeping,Religion or Spiritual Activities,Religion or Spiritual Activities,Sleeping,Sleeping,Religion or Spiritual Activities,Work,Sleeping,Eating,Religion or Spiritual Activities,Study,Study,Study,Study,Eating,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities
Male,24,Student,Single,350000,Entertainment,Entertainment,Entertainment,Entertainment,Socializing,Socializing,Study,Study,Study,Study,Study,Study,Study,Study,University Class,University Class,University Class,University Class,Personal Care,Socializing,Socializing,Sleeping,Sleeping,Sleeping,Housework,Housework,Personal Care,Family Time,Video Games,Personal Care,Study,Study,Study,Study,Study,Study,Study,Study,Study,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,25,Student,Single,50000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,University Class,University Class,University Class,University Class,University Class,University Class,Socializing,Study,Study,University Class,University Class,University Class,Eating,Travelling,Travelling,Personal Care,Eating,Work,Work,Work,Work,Work,Study,Study,Study,Socializing,Socializing,Study,Study,Study,Eating,Socializing,Study,Study,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,24,Student,Single,250000,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Traveling,Eating,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Entertainment,Entertainment,University Class,University Class,University Class,University Class,University Class,University Class,Socializing,Travelling,Family Time,Housework,Eating,Housework,Housework,Entertainment,Entertainment,Personal Care,Study,Study,Study,Study,Study,Study,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
